Word                start point (i, j)  found_index
sliding             (0, 12)             70022
peony               (1, 30)             53878
nicks               (7, 32)             48215
sower               (9, 43)             71470
aside               (13, 9)             3478
frost               (13, 36)            27919
vacation            (16, 4)             84630
sledding            (16, 29)            69933
robed               (18, 27)            64737
tangy               (24, 29)            76952
shiver              (28, 47)            68640
shivering           (28, 47)            68644
snowman             (30, 22)            70734
winter              (31, 12)            87796
inter               (32, 11)            37433
blizzard            (35, 21)            6049
hovel               (36, 4)             33679
shove               (37, 5)             68802
shovel              (37, 5)             68804
skiing              (38, 40)            69661
beers               (42, 40)            5235
cloud               (47, 15)            10753
clouds              (47, 15)            10768
